"human_name","human_ID","mouse_ID","drosophila_ID","baboon_ID","rat_ID","zebrafish_ID","anopheles_ID","aedes_ID","cflo_ID"
"retinoid-inducible serine carboxypeptidase precursor, retinoid-inducible serine carboxypeptidase isoform X1","SCPEP1","ENSMUSG00000020882","FBgn0259822","ENSPANG00000023671","ENSRNOG00000003302","ENSDARG00000100024","AGAP003911","AAEL011116","LOC105250278"
NA,NA,"ENSMUSG00000017404","FBgn0002607","ENSPANG00000023548","ENSRNOG00000053943","ENSDARG00000105478","AGAP003913",NA,NA
"diacylglycerol kinase epsilon, diacylglycerol kinase epsilon isoform X2","DGKE","ENSMUSG00000020883","FBgn0033639","ENSPANG00000023549","ENSRNOG00000003463","ENSDARG00000105366","AGAP012198","AAEL013470","LOC105252326"
"monocyte to macrophage differentiation factor","MMD","ENSMUSG00000018160","FBgn0037109","ENSPANG00000023551","ENSRNOG00000021303","ENSDARG00000098595","AGAP012895","AAEL014095","LOC105257785"
"hepatic leukemia factor isoform 1, hepatic leukemia factor isoform X1","HLF","ENSMUSG00000018167","FBgn0035028","ENSPANG00000011127","ENSRNOG00000021303","ENSDARG00000103015","AGAP003911","AAEL000219","LOC105248038"
"cytochrome c oxidase assembly protein COX11, mitochondrial isoform 1, cytochrome c oxidase assembly protein COX11, mitochondrial isoform X1","COX11","ENSMUSG00000038208","FBgn0033088","ENSPANG00000011127","ENSRNOG00000003719","ENSDARG00000105444","AGAP003913","AAEL009023","LOC105248637"
NA,"KIF2B","ENSMUSG00000062312","FBgn0003731","ENSPANG00000023615","ENSRNOG00000055309","ENSDARG00000075220","AGAP012198","AAEL000163",NA
"carbonic anhydrase-related protein 10 precursor","CA10","ENSMUSG00000002580","FBgn0040650","ENSPANG00000023617","ENSRNOG00000059219","ENSDARG00000074260","AGAP012895","AAEL006945","LOC105257369"
"carbonic anhydrase-related protein 10 precursor","CA10","ENSMUSG00000038150","FBgn0037110","ENSPANG00000023658","ENSRNOG00000003948","ENSDARG00000091205","AGAP003911","AAEL008041","LOC105257369"
"U3 small nucleolar RNA-associated protein 18 homolog","UTP18","ENSMUSG00000078134","FBgn0260944","ENSPANG00000023653","ENSRNOG00000004159","ENSDARG00000068995","AGAP003913","AAEL001360","LOC105249056"
"nucleoside diphosphate kinase B isoform a","NME2","ENSMUSG00000017221","FBgn0261396","ENSPANG00000023620","ENSRNOG00000005275","ENSDARG00000051770","AGAP012198","AAEL010441","LOC105255036"
"nucleoside diphosphate kinase A isoform b, nucleoside diphosphate kinase A isoform a","NME1","ENSMUSG00000017210","FBgn0035851","ENSPANG00000023621","ENSRNOG00000005360","ENSDARG00000051775","AGAP012895","AAEL010460","LOC105255036"
"C-Jun-amino-terminal kinase-interacting protein 4 isoform 2, C-Jun-amino-terminal kinase-interacting protein 4 isoform 1, C-Jun-amino-terminal kinase-interacting protein 4 isoform 3, C-Jun-amino-terminal kinase-interacting protein 4 isoform X1, C-Jun-amino-terminal kinase-interacting protein 4 isoform X2","SPAG9","ENSMUSG00000078676","FBgn0045862","ENSPANG00000023712","ENSRNOG00000005377","ENSDARG00000068928",NA,NA,"LOC105253258"
"luc7-like protein 3 isoform 1, luc7-like protein 3 isoform X2","LUC7L3","ENSMUSG00000020914","FBgn0003732",NA,"ENSRNOG00000006612","ENSDARG00000086304","AGAP011105","AAEL004041","LOC105247841"
"canalicular multispecific organic anion transporter 2 isoform 1","ABCC3","ENSMUSG00000019761","FBgn0004227",NA,"ENSRNOG00000002303","ENSDARG00000070265","AGAP004113","AAEL006649","LOC105256288"
"spermatogenesis-associated protein 20 isoform 2 precursor, spermatogenesis-associated protein 20 isoform 3, spermatogenesis-associated protein 20 isoform 1 precursor","SPATA20","ENSMUSG00000078131","FBgn0046873",NA,"ENSRNOG00000002303","ENSDARG00000075379","AGAP012014","AAEL006540","LOC105258277"
"medium-chain acyl-CoA ligase ACSF2, mitochondrial isoform 1, medium-chain acyl-CoA ligase ACSF2, mitochondrial isoform 2 precursor","ACSF2","ENSMUSG00000063251","FBgn0046873","ENSPANG00000023723","ENSRNOG00000032492","ENSDARG00000090182","AGAP008415","AAEL006956","LOC112638838, LOC105248550, LOC112639309, LOC112639578, LOC105255179"
"39S ribosomal protein L27, mitochondrial","MRPL27","ENSMUSG00000044649","FBgn0046873","ENSPANG00000023723","ENSRNOG00000002342","ENSDARG00000074937","AGAP007579","AAEL002701","LOC105256135"
NA,"XYLT2","ENSMUSG00000045109","FBgn0046873","ENSPANG00000023723","ENSRNOG00000002462","ENSDARG00000051732","AGAP006445","AAEL013561",NA
NA,"COL1A1","ENSMUSG00000078130","FBgn0046873","ENSPANG00000023747","ENSRNOG00000002724","ENSDARG00000051736","AGAP000076","AAEL005766",NA
NA,"SGCA","ENSMUSG00000069718","FBgn0046873","ENSPANG00000023721","ENSRNOG00000002763","ENSDARG00000051734","AGAP010129","AAEL007498",NA
"pyruvate dehydrogenase kinase, isozyme 2 isoform 1 precursor","PDK2","ENSMUSG00000078276","FBgn0004175","ENSPANG00000023746","ENSRNOG00000002899","ENSDARG00000070286","AGAP010129","AAEL014305","LOC105254566"
NA,"ITGA3","ENSMUSG00000078276","FBgn0004174","ENSPANG00000023747","ENSRNOG00000002977","ENSDARG00000070280","AGAP008876","AAEL000174",NA
"solute carrier family 35 member B1 isoform 1","SLC35B1","ENSMUSG00000078260","FBgn0046873","ENSPANG00000023721",NA,"ENSDARG00000086604","AGAP002185","AAEL009863","LOC105259028"
"speckle-type POZ protein, speckle-type POZ protein isoform X1","SPOP","ENSMUSG00000078259","FBgn0046873","ENSPANG00000023751",NA,"ENSDARG00000029406","AGAP005213","AAEL009856","LOC105250149"
"prohibitin isoform 1, prohibitin isoform X1","PHB","ENSMUSG00000048294","FBgn0046873","ENSPANG00000023748","ENSRNOG00000050649","ENSDARG00000088686","AGAP004483","AAEL009855","LOC105249931"
NA,"PHOSPHO1","ENSMUSG00000078254","FBgn0031089","ENSPANG00000023767","ENSRNOG00000027212","ENSDARG00000105314","AGAP011292",NA,NA
"insulin-like growth factor 2 mRNA-binding protein 1 isoform X3, insulin-like growth factor 2 mRNA-binding protein 1 isoform 1, insulin-like growth factor 2 mRNA-binding protein 1 isoform X1, insulin-like growth factor 2 mRNA-binding protein 1 isoform X2","IGF2BP1","ENSMUSG00000078253","FBgn0028939","ENSPANG00000023767","ENSRNOG00000027212","ENSDARG00000099123","AGAP001065",NA,"LOC105258497"
"vacuolar-sorting protein SNF8 isoform 2, vacuolar-sorting protein SNF8 isoform 1","SNF8","ENSMUSG00000078252","FBgn0004173","ENSPANG00000023763","ENSRNOG00000027212","ENSDARG00000100906","AGAP005532","AAEL011113","LOC105257702"
NA,NA,"ENSMUSG00000035530","FBgn0035423","ENSPANG00000023762","ENSRNOG00000003384","ENSDARG00000100279","AGAP005550",NA,NA
NA,"CBX1","ENSMUSG00000017176","FBgn0034988",NA,"ENSRNOG00000024591","ENSDARG00000105400","AGAP000310","AAEL001463",NA
"CDK5 regulatory subunit-associated protein 3 isoform c, CDK5 regulatory subunit-associated protein 3 isoform b, CDK5 regulatory subunit-associated protein 3 isoform X1","CDK5RAP3","ENSMUSG00000001558","FBgn0040038","ENSPANG00000023760","ENSRNOG00000024972","ENSDARG00000086552","AGAP001280","AAEL012269","LOC105251330"
"pyridoxine-5'-phosphate oxidase","PNPO","ENSMUSG00000014195","FBgn0032586","ENSPANG00000023759","ENSRNOG00000003384","ENSDARG00000100024","AGAP001283","AAEL004797","LOC105252726"
NA,"SCRN2","ENSMUSG00000017837","FBgn0040513","ENSPANG00000023757","ENSRNOG00000024591","ENSDARG00000105478","AGAP012119","AAEL001751",NA
NA,"MRPL10","ENSMUSG00000020918","FBgn0020388","ENSPANG00000023756","ENSRNOG00000003424","ENSDARG00000105366","AGAP005124","AAEL003541",NA
"importin subunit beta-1 isoform 1","KPNB1","ENSMUSG00000019173","FBgn0014010","ENSPANG00000023778","ENSRNOG00000003834","ENSDARG00000098595","AGAP006071",NA,"LOC109609712"
"puromycin-sensitive aminopeptidase isoform 2, puromycin-sensitive aminopeptidase isoform 1","NPEPPS","ENSMUSG00000019302","FBgn0028671","ENSPANG00000023776","ENSRNOG00000004171","ENSDARG00000103015","AGAP000954","AAEL008371","LOC105248763"
"39S ribosomal protein L45, mitochondrial isoform 1","MRPL45","ENSMUSG00000001751","FBgn0014417","ENSPANG00000023775","ENSRNOG00000004171","ENSDARG00000105444","AGAP011295","AAEL006972","LOC105248784"
"proteasome subunit beta type-3","PSMB3","ENSMUSG00000001755","FBgn0035632","ENSPANG00000023772","ENSRNOG00000028699","ENSDARG00000075220","AGAP007895","AAEL008578","LOC105253778"
"phosphatidylinositol 5-phosphate 4-kinase type-2 beta, phosphatidylinositol 5-phosphate 4-kinase type-2 beta isoform X1","PIP4K2B","ENSMUSG00000017801","FBgn0039509","ENSPANG00000023772","ENSRNOG00000046276","ENSDARG00000074260","AGAP008033","AAEL008584","LOC105256857"
NA,"CWC25","ENSMUSG00000035198","FBgn0260639","ENSPANG00000023796",NA,"ENSDARG00000091205","AAA29362.1","AAEL001853",NA
"60S ribosomal protein L23","RPL23","ENSMUSG00000045007","FBgn0260639","ENSPANG00000023797",NA,"ENSDARG00000068995","AGAP002599","AAEL001749","LOC105256292"
"LIM and SH3 domain protein 1 isoform a","LASP1","ENSMUSG00000017167","FBgn0013997","ENSPANG00000014312","ENSRNOG00000049695","ENSDARG00000051770","AGAP009134","AAEL012419","LOC105247858"
"voltage-dependent L-type calcium channel subunit beta-1 isoform 2, voltage-dependent L-type calcium channel subunit beta-1 isoform X1, voltage-dependent L-type calcium channel subunit beta-1 isoform X2, voltage-dependent L-type calcium channel subunit beta-1 isoform X3, voltage-dependent L-type calcium channel subunit beta-1 isoform 3, voltage-dependent L-type calcium channel subunit beta-1 isoform X4","CACNB1","ENSMUSG00000006920","FBgn0000629","ENSPANG00000023798","ENSRNOG00000050042","ENSDARG00000051775",NA,"AAEL012631","LOC105255587"
"60S ribosomal protein L19 isoform 1, 60S ribosomal protein L19 isoform 2","RPL19","ENSMUSG00000078656","FBgn0022027","ENSPANG00000023798",NA,"ENSDARG00000068928","AGAP000219","AAEL000582","LOC105255850"
"F-box/LRR-repeat protein 20 isoform 3, F-box/LRR-repeat protein 20 isoform 1","FBXL20","ENSMUSG00000017188","FBgn0261353","ENSPANG00000023798","ENSRNOG00000037718","ENSDARG00000086304","AGAP000219","AAEL004880","LOC105251156"
NA,"MED1","ENSMUSG00000035086","FBgn0264325","ENSPANG00000023833","ENSRNOG00000003849","ENSDARG00000070265","AGAP000219","AAEL006946",NA
"stAR-related lipid transfer protein 3 isoform 1, stAR-related lipid transfer protein 3 isoform X1","STARD3","ENSMUSG00000078652","FBgn0029133","ENSPANG00000024317","ENSRNOG00000003947","ENSDARG00000075379","AGAP000422","AAEL012389","LOC105257069"
"post-GPI attachment to proteins factor 3 isoform 1 precursor","PGAP3","ENSMUSG00000078650","FBgn0031463","ENSPANG00000023841","ENSRNOG00000004075","ENSDARG00000090182",NA,"AAEL015060","LOC105258601"
NA,"ERBB2","ENSMUSG00000097239","FBgn0029664","ENSPANG00000023841","ENSRNOG00000004075","ENSDARG00000074937","AGAP000422","AAEL004063",NA
"migration and invasion enhancer 1 isoform 1","MIEN1","ENSMUSG00000075528","FBgn0029664","ENSPANG00000023940","ENSRNOG00000002886","ENSDARG00000051732","AGAP009743",NA,"LOC105259178"
NA,"ORMDL3","ENSMUSG00000035007","FBgn0040348","ENSPANG00000023939","ENSRNOG00000004139","ENSDARG00000051736","AGAP003365","AAEL006463",NA
NA,"SRSF3","ENSMUSG00000063316","FBgn0039359","ENSPANG00000023938","ENSRNOG00000039783","ENSDARG00000051734","AGAP010435","AAEL011650",NA
"26S proteasome non-ATPase regulatory subunit 3","PSMD3","ENSMUSG00000034931","FBgn0086895","ENSPANG00000023937","ENSRNOG00000004214","ENSDARG00000070286","AGAP001672","AAEL007699","LOC105251848"
"mediator of RNA polymerase II transcription subunit 24 isoform 2, mediator of RNA polymerase II transcription subunit 24 isoform 1, mediator of RNA polymerase II transcription subunit 24 isoform 3","MED24","ENSMUSG00000017314","FBgn0250785",NA,"ENSRNOG00000004668","ENSDARG00000070280","AGAP008774","AAEL012962","LOC105256295, LOC105256296"
NA,"CASC3","ENSMUSG00000020922","FBgn0036057","ENSPANG00000024062","ENSRNOG00000004668","ENSDARG00000086604","AGAP010147","AAEL014391",NA
"DNA topoisomerase 2-alpha, DNA topoisomerase 2-alpha isoform X1, DNA topoisomerase 2-alpha isoform X2","TOP2A","ENSMUSG00000020922","FBgn0030364","ENSPANG00000024060","ENSRNOG00000004668","ENSDARG00000029406","AGAP010147","AAEL004251","LOC105251341"
NA,"KRT10","ENSMUSG00000034793","FBgn0031463","ENSPANG00000024060","ENSRNOG00000005193","ENSDARG00000088686","AGAP010147",NA,NA
NA,NA,"ENSMUSG00000008855","FBgn0041210","ENSPANG00000024060","ENSRNOG00000005659","ENSDARG00000105314","AGAP010147","AAEL006307",NA
NA,NA,"ENSMUSG00000006574","FBgn0036043","ENSPANG00000024058","ENSRNOG00000006989","ENSDARG00000099123","AGAP010147","AAEL010885",NA
NA,NA,"ENSMUSG00000018677","FBgn0037512","ENSPANG00000024057","ENSRNOG00000006989","ENSDARG00000100906","AGAP010147","AAEL007669",NA
NA,"KRTAP4-12","ENSMUSG00000018677","FBgn0031039","ENSPANG00000024055","ENSRNOG00000037627","ENSDARG00000100279","AGAP005915","AAEL010677",NA
NA,"KRTAP4-7","ENSMUSG00000020925","FBgn0032101","ENSPANG00000024093","ENSRNOG00000008480","ENSDARG00000105400","AGAP006100","AAEL010671",NA
NA,"KRTAP4-6","ENSMUSG00000020929","FBgn0039566","ENSPANG00000024099","ENSRNOG00000009722","ENSDARG00000086552",NA,"AAEL001461",NA
NA,"KRTAP4-12","ENSMUSG00000020935","FBgn0037469","ENSPANG00000024185","ENSRNOG00000045742","ENSDARG00000100024","AGAP003022","AAEL007669",NA
NA,"KRTAP4-7","ENSMUSG00000020936","FBgn0020392","ENSPANG00000024193","ENSRNOG00000052688","ENSDARG00000105478","AGAP003022","AAEL010677",NA
NA,"KRTAP4-6","ENSMUSG00000055805","FBgn0267795","ENSPANG00000024193","ENSRNOG00000010520","ENSDARG00000105366","AGAP007523","AAEL010671",NA
NA,NA,"ENSMUSG00000078632","FBgn0039633","ENSPANG00000024189","ENSRNOG00000011227","ENSDARG00000098595","AGAP009914","AAEL001461",NA
NA,NA,"ENSMUSG00000020945","FBgn0034092","ENSPANG00000024188","ENSRNOG00000011227","ENSDARG00000103015","AGAP002468","AAEL006445",NA
NA,NA,"ENSMUSG00000020945","FBgn0004431","ENSPANG00000024186","ENSRNOG00000011227","ENSDARG00000105444","AGAP005239","AAEL006445",NA
NA,"KRTAP4-3","ENSMUSG00000020945","FBgn0004425","ENSPANG00000024215","ENSRNOG00000011714","ENSDARG00000075220","AGAP005239","AAEL000755",NA
NA,"KRTAP4-3","ENSMUSG00000020945","FBgn0004426","ENSPANG00000024212","ENSRNOG00000011876","ENSDARG00000074260",NA,"AAEL010184",NA
NA,"KRTAP4-3","ENSMUSG00000020945","FBgn0004427",NA,"ENSRNOG00000012162","ENSDARG00000091205","AGAP002091","AAEL009877",NA
NA,"KRTAP29-1","ENSMUSG00000020945","FBgn0004428","ENSPANG00000024210","ENSRNOG00000030628","ENSDARG00000068995",NA,"AAEL011147",NA
NA,"KRTAP16-1","ENSMUSG00000020945","FBgn0004429","ENSPANG00000024209","ENSRNOG00000028834","ENSDARG00000051770","AGAP007721",NA,NA
NA,NA,"ENSMUSG00000020945","FBgn0004430","ENSPANG00000024208","ENSRNOG00000015430","ENSDARG00000051775",NA,"AAEL000728",NA
"eukaryotic translation initiation factor 1","EIF1","ENSMUSG00000020945","FBgn0029765","ENSPANG00000024199","ENSRNOG00000037540","ENSDARG00000068928","AGAP000995","AAEL007763","LOC105251845"
"7-methylguanosine phosphate-specific 5'-nucleotidase","NT5C3B","ENSMUSG00000020946","FBgn0260856","ENSPANG00000024199","ENSRNOG00000037540","ENSDARG00000086304","AGAP010067","AAEL006066","LOC105248505"
"kelch-like protein 10 isoform 1","KLHL10","ENSMUSG00000034187","FBgn0266464","ENSPANG00000024345","ENSRNOG00000015674","ENSDARG00000070265","AGAP012009","AAEL013614","LOC105257273"
"dnaJ homolog subfamily C member 7 isoform 2, dnaJ homolog subfamily C member 7 isoform 1, dnaJ homolog subfamily C member 7 isoform X1","DNAJC7","ENSMUSG00000034187","FBgn0000346","ENSPANG00000024328","ENSRNOG00000016109","ENSDARG00000075379","AGAP010016","AAEL001532","LOC105255880"
"NF-kappa-B inhibitor-interacting Ras-like protein 2 isoform a, NF-kappa-B inhibitor-interacting Ras-like protein 2 isoform X1","NKIRAS2","ENSMUSG00000062421","FBgn0010348","ENSPANG00000024329","ENSRNOG00000016478","ENSDARG00000090182",NA,"AAEL003157","LOC105256534"
"histone acetyltransferase KAT2A isoform 2, histone acetyltransferase KAT2A isoform 1","KAT2A","ENSMUSG00000018634","FBgn0033744","ENSPANG00000024330","ENSRNOG00000017226","ENSDARG00000074937","AGAP001885","AAEL000564","LOC105247799, LOC105247800"
"ras-related protein Rab-5C isoform b, ras-related protein Rab-5C isoform a","RAB5C","ENSMUSG00000018634","FBgn0033932","ENSPANG00000024332","ENSRNOG00000017352","ENSDARG00000051732","AGAP007790","AAEL006566","LOC105258192"
"V-type proton ATPase 116 kDa subunit a isoform 1 isoform a, V-type proton ATPase 116 kDa subunit a isoform 1 isoform b, V-type proton ATPase 116 kDa subunit a isoform 1 isoform 4, V-type proton ATPase 116 kDa subunit a isoform 1 isoform 5, V-type proton ATPase 116 kDa subunit a isoform 1 isoform 6, V-type proton ATPase 116 kDa subunit a isoform 1 isoform 7, V-type proton ATPase 116 kDa subunit a isoform 1 isoform 8, V-type proton ATPase 116 kDa subunit a isoform 1 isoform 9, V-type proton ATPase 116 kDa subunit a isoform 1 isoform 10, V-type proton ATPase 116 kDa subunit a isoform 1 isoform 11, V-type proton ATPase 116 kDa subunit a isoform 1 isoform 13, V-type proton ATPase 116 kDa subunit a isoform 1 isoform 27, V-type proton ATPase 116 kDa subunit a isoform 1 isoform c","ATP6V0A1","ENSMUSG00000020687","FBgn0012058","ENSPANG00000024311","ENSRNOG00000017417","ENSDARG00000051736","AGAP007791","AAEL011478","LOC105254546"
"alpha-N-acetylglucosaminidase precursor, alpha-N-acetylglucosaminidase isoform X1","NAGLU","ENSMUSG00000061086","FBgn0004687","ENSPANG00000024314","ENSRNOG00000017915","ENSDARG00000051734","AGAP009595","AAEL011478","LOC105257378"
"bifunctional coenzyme A synthase isoform a precursor, bifunctional coenzyme A synthase isoform c, bifunctional coenzyme A synthase isoform X2, bifunctional coenzyme A synthase isoform X1","COASY","ENSMUSG00000020691","FBgn0035247","ENSPANG00000024315","ENSRNOG00000018114","ENSDARG00000070286","AGAP002239","AAEL006473","LOC105257058"
"max-like protein X isoform gamma, max-like protein X isoform beta","MLX","ENSMUSG00000020681","FBgn0016122","ENSPANG00000024295","ENSRNOG00000018526","ENSDARG00000070280",NA,NA,"LOC105254028"
"tubulin gamma-1 chain","TUBG1","ENSMUSG00000020681","FBgn0012037",NA,"ENSRNOG00000018881","ENSDARG00000086604","AGAP008375","AAEL005944","LOC105253716"
"tubulin gamma-2 chain isoform 1, tubulin gamma-2 chain isoform 2","TUBG2","ENSMUSG00000101605","FBgn0016122","ENSPANG00000024297","ENSRNOG00000018881","ENSDARG00000029406","AGAP009863",NA,"LOC105253716"
NA,"CNTNAP1","ENSMUSG00000101605","FBgn0012037","ENSPANG00000024298","ENSRNOG00000019308","ENSDARG00000088686","AGAP007810",NA,NA
NA,"EZH1","ENSMUSG00000049354","FBgn0266848","ENSPANG00000024292","ENSRNOG00000026488","ENSDARG00000105314","AGAP008190",NA,NA
"vacuolar protein-sorting-associated protein 25","VPS25","ENSMUSG00000001983","FBgn0032205","ENSPANG00000024256","ENSRNOG00000019551","ENSDARG00000099123","AGAP001300","AAEL007926","LOC105256399"
NA,"COA3","ENSMUSG00000069631","FBgn0046692","ENSPANG00000024258","ENSRNOG00000011827","ENSDARG00000100906","AGAP001300","AAEL007926",NA
"beclin-1 isoform a","BECN1","ENSMUSG00000078622","FBgn0031544","ENSPANG00000024258","ENSRNOG00000019604","ENSDARG00000100279","AGAP000563","AAEL000084","LOC105252075"
"proteasome activator complex subunit 3 isoform 3, proteasome activator complex subunit 3 isoform 1, proteasome activator complex subunit 3 isoform 2","PSME3","ENSMUSG00000020705","FBgn0036104","ENSPANG00000024258","ENSRNOG00000033508","ENSDARG00000105400","AGAP011965","AAEL011709","LOC105257048"
NA,"G6PC","ENSMUSG00000020706","FBgn0030720","ENSPANG00000024261","ENSRNOG00000003815","ENSDARG00000086552","AGAP011284","AAEL010679",NA
NA,"PTGES3L-AARSD1","ENSMUSG00000020708","FBgn0020369","ENSPANG00000024352","ENSRNOG00000004078","ENSDARG00000100024","AGAP007340","AAEL005255",NA
NA,"AARSD1","ENSMUSG00000001027","FBgn0264255","ENSPANG00000024354","ENSRNOG00000004246","ENSDARG00000105478","AGAP006231","AAEL006779",NA
NA,"PTGES3L-AARSD1","ENSMUSG00000020715","FBgn0261984","ENSPANG00000024369","ENSRNOG00000006126","ENSDARG00000105366","AGAP002685","AAEL004235",NA
NA,"AARSD1","ENSMUSG00000020719","FBgn0035720","ENSPANG00000024365","ENSRNOG00000006949","ENSDARG00000098595","AGAP004448","AAEL008031",NA
"RUN domain-containing protein 1 isoform 2, RUN domain-containing protein 1 isoform 1, RUN domain-containing protein 1 isoform X1, RUN domain-containing protein 1 isoform X2","RUNDC1","ENSMUSG00000018363","FBgn0029006","ENSPANG00000013055","ENSRNOG00000007054","ENSDARG00000103015","AGAP008769",NA,"LOC105250647"
"60S ribosomal protein L27","RPL27","ENSMUSG00000018362","FBgn0267727","ENSPANG00000024357","ENSRNOG00000055466","ENSDARG00000105444","AGAP000255","AAEL007573","LOC105253929"
"ATP-dependent RNA helicase DHX8 isoform 8, ATP-dependent RNA helicase DHX8 isoform 1","DHX8","ENSMUSG00000040481","FBgn0000541","ENSPANG00000024457","ENSRNOG00000007889","ENSDARG00000075220","AGAP006389","AAEL012359","LOC105256612"
"MAGUK p55 subfamily member 2 isoform 1, MAGUK p55 subfamily member 2 isoform 2, MAGUK p55 subfamily member 2 isoform 4, MAGUK p55 subfamily member 2 isoform 8, MAGUK p55 subfamily member 2 isoform 3, MAGUK p55 subfamily member 2 isoform X3, MAGUK p55 subfamily member 2 isoform X1, MAGUK p55 subfamily member 2 isoform X2, MAGUK p55 subfamily member 2 isoform 6","MPP2","ENSMUSG00000018433","FBgn0036886","ENSPANG00000024454","ENSRNOG00000014072","ENSDARG00000074260",NA,"AAEL012359","LOC105251679"
"protein LSM12 homolog isoform 3","LSM12","ENSMUSG00000040430","FBgn0027872","ENSPANG00000024465","ENSRNOG00000014870","ENSDARG00000091205","AGAP011360","AAEL012475","LOC105256297"
"protein LSM12 homolog isoform 3","LSM12","ENSMUSG00000020720","FBgn0028690","ENSPANG00000024465","ENSRNOG00000014870","ENSDARG00000068995","AGAP005990","AAEL010612","LOC105256297"
NA,"G6PC3","ENSMUSG00000050965","FBgn0003091","ENSPANG00000024463","ENSRNOG00000014870","ENSDARG00000051770","AGAP009271","AAEL011687",NA
NA,"HDAC5","ENSMUSG00000000142","FBgn0026597","ENSPANG00000024597","ENSRNOG00000014973","ENSDARG00000051775","AGAP010687","AAEL004743",NA
NA,"SLC4A1","ENSMUSG00000020611","FBgn0000384","ENSPANG00000024596","ENSRNOG00000010041","ENSDARG00000068928","AGAP006340","AAEL001725",NA
NA,"SLC25A39","ENSMUSG00000041895","FBgn0032935","ENSPANG00000024592","ENSRNOG00000016212","ENSDARG00000086304","AGAP012097","AAEL011677",NA
NA,"SLC25A39","ENSMUSG00000020612","FBgn0259243","ENSPANG00000024598","ENSRNOG00000024553","ENSDARG00000070265","AGAP007827","AAEL014664",NA
"coiled-coil domain-containing protein 43 isoform 1","CCDC43","ENSMUSG00000020623","FBgn0261524","ENSPANG00000024607","ENSRNOG00000018242","ENSDARG00000075379","AGAP012500","AAEL014665","LOC105257213"
"116 kDa U5 small nuclear ribonucleoprotein component isoform b, 116 kDa U5 small nuclear ribonucleoprotein component isoform a, 116 kDa U5 small nuclear ribonucleoprotein component isoform c","EFTUD2","ENSMUSG00000041695","FBgn0265042","ENSPANG00000024603","ENSRNOG00000019352","ENSDARG00000090182","AGAP001179","AAEL002418","LOC105257116"
"dephospho-CoA kinase domain-containing protein, dephospho-CoA kinase domain-containing protein isoform X1","DCAKD","ENSMUSG00000041695","FBgn0039081","ENSPANG00000024602","ENSRNOG00000019606","ENSDARG00000074937","AGAP003987","AAEL007409","LOC105248112"
"glycylpeptide N-tetradecanoyltransferase 1","NMT1","ENSMUSG00000041654","FBgn0033665","ENSPANG00000024601","ENSRNOG00000002669","ENSDARG00000051732","AGAP006138",NA,"LOC105251111"
NA,"FMNL1","ENSMUSG00000018661","FBgn0037998","ENSPANG00000024608","ENSRNOG00000002755","ENSDARG00000051736","AGAP000832","AAEL006601",NA
NA,"LRRC37A","ENSMUSG00000057322","FBgn0040007","ENSPANG00000024627","ENSRNOG00000027194","ENSDARG00000051734","AGAP011684","AAEL007375",NA
NA,"LRRC37A3","ENSMUSG00000034714","FBgn0261444","ENSPANG00000024631","ENSRNOG00000027194","ENSDARG00000070286","AGAP000725","AAEL001603",NA
NA,"LRRC37B","ENSMUSG00000034714","FBgn0015558","ENSPANG00000024612","ENSRNOG00000002980","ENSDARG00000070280","AGAP009738","AAEL015560",NA
NA,"LRRC37A2","ENSMUSG00000034706","FBgn0036195","ENSPANG00000024613",NA,"ENSDARG00000086604","AGAP007054","AAEL008656",NA
NA,"LYZL6","ENSMUSG00000010021","FBgn0038205","ENSPANG00000024615","ENSRNOG00000003116","ENSDARG00000029406","AGAP007055",NA,NA
NA,"LYZL6","ENSMUSG00000015542","FBgn0039859","ENSPANG00000023158","ENSRNOG00000003123","ENSDARG00000088686",NA,"AAEL009345",NA
NA,"LYZL6","ENSMUSG00000045980","FBgn0036988","ENSPANG00000023153","ENSRNOG00000003243","ENSDARG00000105314",NA,"AAEL011597",NA
NA,"LYZL6","ENSMUSG00000018861","FBgn0015582","ENSPANG00000023188","ENSRNOG00000003495","ENSDARG00000099123","AGAP007334","AAEL006876",NA
NA,"LYZL6","ENSMUSG00000045288","FBgn0033785","ENSPANG00000023185","ENSRNOG00000003846","ENSDARG00000100906","AGAP002251","AAEL011388",NA
NA,"LYZL6","ENSMUSG00000034586","FBgn0033713","ENSPANG00000023370","ENSRNOG00000056954","ENSDARG00000100279","AGAP002243","AAEL006256",NA
NA,"LYZL6","ENSMUSG00000018858","FBgn0032261","ENSPANG00000023367","ENSRNOG00000004072","ENSDARG00000105400","AGAP001042","AAEL012740",NA
NA,"LYZL6","ENSMUSG00000034566","FBgn0016120","ENSPANG00000023415","ENSRNOG00000005290","ENSDARG00000086552","AGAP002250","AAEL004467",NA
NA,"LYZL6","ENSMUSG00000016940","FBgn0025394","ENSPANG00000023435","ENSRNOG00000060054","ENSDARG00000100024","AGAP004330","AAEL002387",NA
NA,"AC005670.2","ENSMUSG00000057219","FBgn0038425","ENSPANG00000023444","ENSRNOG00000006895","ENSDARG00000105478","AGAP012241","AAEL002703",NA
"Golgi SNAP receptor complex member 2 isoform G, Golgi SNAP receptor complex member 2 isoform A","GOSR2","ENSMUSG00000020738","FBgn0264922","ENSPANG00000023445","ENSRNOG00000007788","ENSDARG00000105366","AGAP011851","AAEL008650","LOC105253914"
