"mouse_ID","drosophila_ID","orthotype_mouse_drosophila","omagroup_mouse_drosophila"
"ENSMUSG00000060678","FBgn0053879","n:m",NA
"ENSMUSG00000060678","FBgn0053877","n:m",NA
"ENSMUSG00000060678","FBgn0053875","n:m",NA
"ENSMUSG00000060678","FBgn0053873","n:m",NA
"ENSMUSG00000060678","FBgn0053871","n:m",NA
"ENSMUSG00000060678","FBgn0053869","n:m",NA
"ENSMUSG00000060678","FBgn0013981","n:m",NA
"ENSMUSG00000069310","FBgn0053803","n:m",NA
"ENSMUSG00000069310","FBgn0051613","n:m",NA
"ENSMUSG00000069310","FBgn0053806","n:m",NA
"ENSMUSG00000069310","FBgn0053809","n:m",497240
"ENSMUSG00000069310","FBgn0053812","n:m",NA
"ENSMUSG00000069310","FBgn0053815","n:m",NA
"ENSMUSG00000069310","FBgn0053818","n:m",NA
"ENSMUSG00000069310","FBgn0053821","n:m",NA
"ENSMUSG00000069310","FBgn0053824","n:m",NA
"ENSMUSG00000069310","FBgn0053827","n:m",NA
"ENSMUSG00000069310","FBgn0053830","n:m",NA
"ENSMUSG00000069310","FBgn0053833","n:m",NA
"ENSMUSG00000069310","FBgn0053836","n:m",NA
"ENSMUSG00000069310","FBgn0053839","n:m",NA
"ENSMUSG00000069310","FBgn0053842","n:m",NA
"ENSMUSG00000069310","FBgn0053845","n:m",NA
"ENSMUSG00000069310","FBgn0053848","n:m",NA
"ENSMUSG00000069310","FBgn0053851","n:m",NA
"ENSMUSG00000069310","FBgn0053854","n:m",NA
"ENSMUSG00000069310","FBgn0053857","n:m",NA
"ENSMUSG00000069310","FBgn0053860","n:m",NA
"ENSMUSG00000069310","FBgn0053863","n:m",NA
"ENSMUSG00000069310","FBgn0053866","n:m",NA
"ENSMUSG00000069267","FBgn0053803","n:m",NA
"ENSMUSG00000069267","FBgn0051613","n:m",NA
"ENSMUSG00000069267","FBgn0053806","n:m",NA
"ENSMUSG00000069267","FBgn0053809","n:m",NA
"ENSMUSG00000069267","FBgn0053812","n:m",497242
"ENSMUSG00000069267","FBgn0053815","n:m",NA
"ENSMUSG00000069267","FBgn0053818","n:m",NA
"ENSMUSG00000069267","FBgn0053821","n:m",NA
"ENSMUSG00000069267","FBgn0053824","n:m",NA
"ENSMUSG00000069267","FBgn0053827","n:m",NA
"ENSMUSG00000069267","FBgn0053830","n:m",NA
"ENSMUSG00000069267","FBgn0053833","n:m",NA
"ENSMUSG00000069267","FBgn0053836","n:m",NA
"ENSMUSG00000069267","FBgn0053839","n:m",NA
"ENSMUSG00000069267","FBgn0053842","n:m",NA
"ENSMUSG00000069267","FBgn0053845","n:m",NA
"ENSMUSG00000069267","FBgn0053848","n:m",NA
"ENSMUSG00000069267","FBgn0053851","n:m",NA
"ENSMUSG00000069267","FBgn0053854","n:m",NA
"ENSMUSG00000069267","FBgn0053857","n:m",NA
"ENSMUSG00000069267","FBgn0053860","n:m",NA
"ENSMUSG00000069267","FBgn0053863","n:m",NA
"ENSMUSG00000069267","FBgn0053866","n:m",NA
"ENSMUSG00000069266","FBgn0053909","n:m",NA
"ENSMUSG00000069266","FBgn0051611","n:m",NA
"ENSMUSG00000069266","FBgn0053907","n:m",NA
"ENSMUSG00000069266","FBgn0053905","n:m",NA
"ENSMUSG00000069266","FBgn0053903","n:m",NA
"ENSMUSG00000069266","FBgn0053901","n:m",NA
"ENSMUSG00000069266","FBgn0053899","n:m",NA
"ENSMUSG00000069266","FBgn0053897","n:m",NA
"ENSMUSG00000069266","FBgn0053895","n:m",NA
"ENSMUSG00000069266","FBgn0053893","n:m",NA
"ENSMUSG00000069266","FBgn0053891","n:m",NA
"ENSMUSG00000069266","FBgn0053889","n:m",NA
"ENSMUSG00000069266","FBgn0053887","n:m",NA
"ENSMUSG00000069266","FBgn0053885","n:m",NA
"ENSMUSG00000069266","FBgn0053883","n:m",NA
"ENSMUSG00000069266","FBgn0053881","n:m",NA
"ENSMUSG00000069266","FBgn0053879","n:m",NA
"ENSMUSG00000069266","FBgn0053877","n:m",NA
"ENSMUSG00000069266","FBgn0053875","n:m",NA
"ENSMUSG00000069266","FBgn0053873","n:m",NA
"ENSMUSG00000069266","FBgn0053871","n:m",NA
"ENSMUSG00000069266","FBgn0053869","n:m",NA
"ENSMUSG00000069266","FBgn0013981","n:m",NA
"ENSMUSG00000060093","FBgn0053909","n:m",NA
"ENSMUSG00000060093","FBgn0051611","n:m",NA
"ENSMUSG00000060093","FBgn0053907","n:m",NA
"ENSMUSG00000060093","FBgn0053905","n:m",NA
"ENSMUSG00000060093","FBgn0053903","n:m",NA
"ENSMUSG00000060093","FBgn0053901","n:m",NA
"ENSMUSG00000060093","FBgn0053899","n:m",NA
"ENSMUSG00000060093","FBgn0053897","n:m",NA
"ENSMUSG00000060093","FBgn0053895","n:m",NA
"ENSMUSG00000060093","FBgn0053893","n:m",NA
"ENSMUSG00000060093","FBgn0053891","n:m",681439
"ENSMUSG00000060093","FBgn0053889","n:m",NA
"ENSMUSG00000060093","FBgn0053887","n:m",NA
"ENSMUSG00000060093","FBgn0053885","n:m",NA
"ENSMUSG00000060093","FBgn0053883","n:m",NA
"ENSMUSG00000060093","FBgn0053881","n:m",NA
"ENSMUSG00000060093","FBgn0053879","n:m",NA
"ENSMUSG00000060093","FBgn0053877","n:m",NA
"ENSMUSG00000060093","FBgn0053875","n:m",NA
"ENSMUSG00000060093","FBgn0053873","n:m",NA
"ENSMUSG00000060093","FBgn0053871","n:m",NA
"ENSMUSG00000060093","FBgn0053869","n:m",NA
"ENSMUSG00000060093","FBgn0013981","n:m",NA
"ENSMUSG00000069265","FBgn0053803","n:m",NA
"ENSMUSG00000069265","FBgn0051613","n:m",NA
"ENSMUSG00000069265","FBgn0053806","n:m",NA
"ENSMUSG00000069265","FBgn0053809","n:m",NA
"ENSMUSG00000069265","FBgn0053812","n:m",NA
"ENSMUSG00000069265","FBgn0053815","n:m",NA
"ENSMUSG00000069265","FBgn0053818","n:m",NA
"ENSMUSG00000069265","FBgn0053821","n:m",NA
"ENSMUSG00000069265","FBgn0053824","n:m",497251
"ENSMUSG00000069265","FBgn0053827","n:m",NA
"ENSMUSG00000069265","FBgn0053830","n:m",NA
"ENSMUSG00000069265","FBgn0053833","n:m",NA
"ENSMUSG00000069265","FBgn0053836","n:m",NA
"ENSMUSG00000069265","FBgn0053839","n:m",NA
"ENSMUSG00000069265","FBgn0053842","n:m",NA
"ENSMUSG00000069265","FBgn0053845","n:m",NA
"ENSMUSG00000069265","FBgn0053848","n:m",NA
"ENSMUSG00000069265","FBgn0053851","n:m",NA
"ENSMUSG00000069265","FBgn0053854","n:m",NA
"ENSMUSG00000069265","FBgn0053857","n:m",NA
"ENSMUSG00000069265","FBgn0053860","n:m",NA
"ENSMUSG00000069265","FBgn0053863","n:m",NA
"ENSMUSG00000069265","FBgn0053866","n:m",NA
"ENSMUSG00000036110","FBgn0033234","1:1",547540
"ENSMUSG00000036083","FBgn0058263","n:m",NA
"ENSMUSG00000036083","FBgn0033048","n:m",551739
"ENSMUSG00000036083","FBgn0034783","n:m",NA
"ENSMUSG00000036083","FBgn0034785","n:m",NA
"ENSMUSG00000036083","FBgn0039886","n:m",NA
"ENSMUSG00000021335","FBgn0058263","n:m",NA
"ENSMUSG00000021335","FBgn0033048","n:m",NA
"ENSMUSG00000021335","FBgn0034783","n:m",NA
"ENSMUSG00000021335","FBgn0034785","n:m",NA
"ENSMUSG00000021335","FBgn0039886","n:m",NA
"ENSMUSG00000021336","FBgn0058263","n:m",NA
"ENSMUSG00000021336","FBgn0033048","n:m",NA
"ENSMUSG00000021336","FBgn0034783","n:m",NA
"ENSMUSG00000021336","FBgn0034785","n:m",NA
"ENSMUSG00000021336","FBgn0039886","n:m",NA
"ENSMUSG00000050799","FBgn0053910","1:m",NA
"ENSMUSG00000050799","FBgn0061209","1:m",NA
"ENSMUSG00000050799","FBgn0053908","1:m",NA
"ENSMUSG00000050799","FBgn0053906","1:m",NA
"ENSMUSG00000050799","FBgn0053904","1:m",NA
"ENSMUSG00000050799","FBgn0053902","1:m",NA
"ENSMUSG00000050799","FBgn0053900","1:m",NA
"ENSMUSG00000050799","FBgn0053898","1:m",NA
"ENSMUSG00000050799","FBgn0053896","1:m",NA
"ENSMUSG00000050799","FBgn0053894","1:m",NA
"ENSMUSG00000050799","FBgn0053892","1:m",NA
"ENSMUSG00000050799","FBgn0053890","1:m",NA
"ENSMUSG00000050799","FBgn0053888","1:m",NA
"ENSMUSG00000050799","FBgn0053886","1:m",NA
"ENSMUSG00000050799","FBgn0053884","1:m",NA
"ENSMUSG00000050799","FBgn0053882","1:m",NA
"ENSMUSG00000050799","FBgn0053880","1:m",801591
"ENSMUSG00000050799","FBgn0053878","1:m",NA
"ENSMUSG00000050799","FBgn0053876","1:m",NA
"ENSMUSG00000050799","FBgn0053874","1:m",NA
"ENSMUSG00000050799","FBgn0053872","1:m",NA
"ENSMUSG00000050799","FBgn0053870","1:m",NA
"ENSMUSG00000050799","FBgn0053868","1:m",NA
"ENSMUSG00000060081","FBgn0051618","n:m",NA
"ENSMUSG00000060081","FBgn0053808","n:m",NA
"ENSMUSG00000060081","FBgn0053814","n:m",NA
"ENSMUSG00000060081","FBgn0053817","n:m",NA
"ENSMUSG00000060081","FBgn0053820","n:m",NA
"ENSMUSG00000060081","FBgn0053823","n:m",NA
"ENSMUSG00000060081","FBgn0053826","n:m",NA
"ENSMUSG00000060081","FBgn0053829","n:m",NA
"ENSMUSG00000060081","FBgn0053832","n:m",862353
"ENSMUSG00000060081","FBgn0053835","n:m",NA
"ENSMUSG00000060081","FBgn0053838","n:m",NA
"ENSMUSG00000060081","FBgn0053841","n:m",NA
"ENSMUSG00000060081","FBgn0053844","n:m",NA
"ENSMUSG00000060081","FBgn0053847","n:m",NA
"ENSMUSG00000060081","FBgn0053850","n:m",NA
"ENSMUSG00000060081","FBgn0053853","n:m",NA
"ENSMUSG00000060081","FBgn0053856","n:m",NA
"ENSMUSG00000060081","FBgn0053859","n:m",NA
"ENSMUSG00000060081","FBgn0053862","n:m",NA
"ENSMUSG00000060081","FBgn0053865","n:m",NA
"ENSMUSG00000021338","FBgn0033212","1:1",549279
"ENSMUSG00000006717","FBgn0035355","1:m",794265
"ENSMUSG00000006717","FBgn0035356","1:m",NA
"ENSMUSG00000006711","FBgn0035833","n:1",831371
"ENSMUSG00000035936","FBgn0039349","1:1",661720
"ENSMUSG00000113061","FBgn0010411","n:1",NA
"ENSMUSG00000006191","FBgn0034214","1:1",866023
"ENSMUSG00000016477","FBgn0024371","n:1",NA
"ENSMUSG00000038732","FBgn0033476","n:1",525803
"ENSMUSG00000038462","FBgn0021906","1:1",694645
"ENSMUSG00000021357","FBgn0266670","1:1",785934
"ENSMUSG00000076430","FBgn0026417","n:1",NA
"ENSMUSG00000038372","FBgn0031661","1:1",546860
"ENSMUSG00000044734","FBgn0051902","n:m",NA
"ENSMUSG00000044734","FBgn0265137","n:m",NA
"ENSMUSG00000044734","FBgn0033112","n:m",NA
"ENSMUSG00000044734","FBgn0033113","n:m",NA
"ENSMUSG00000044734","FBgn0028988","n:m",NA
"ENSMUSG00000044734","FBgn0024294","n:m",NA
"ENSMUSG00000044734","FBgn0028983","n:m",NA
"ENSMUSG00000045827","FBgn0051902","n:m",NA
"ENSMUSG00000045827","FBgn0265137","n:m",NA
"ENSMUSG00000045827","FBgn0033112","n:m",NA
"ENSMUSG00000045827","FBgn0033113","n:m",NA
"ENSMUSG00000045827","FBgn0028988","n:m",NA
"ENSMUSG00000045827","FBgn0024294","n:m",NA
"ENSMUSG00000045827","FBgn0028983","n:m",NA
"ENSMUSG00000051029","FBgn0051902","n:m",NA
"ENSMUSG00000051029","FBgn0265137","n:m",NA
"ENSMUSG00000051029","FBgn0033112","n:m",NA
"ENSMUSG00000051029","FBgn0033113","n:m",NA
"ENSMUSG00000051029","FBgn0028988","n:m",NA
"ENSMUSG00000051029","FBgn0024294","n:m",NA
"ENSMUSG00000051029","FBgn0028983","n:m",NA
"ENSMUSG00000054266","FBgn0051902","n:m",NA
"ENSMUSG00000054266","FBgn0265137","n:m",NA
"ENSMUSG00000054266","FBgn0033112","n:m",NA
"ENSMUSG00000054266","FBgn0033113","n:m",847725
"ENSMUSG00000054266","FBgn0028988","n:m",NA
"ENSMUSG00000054266","FBgn0024294","n:m",NA
"ENSMUSG00000054266","FBgn0028983","n:m",NA
"ENSMUSG00000038327","FBgn0051902","n:m",NA
"ENSMUSG00000038327","FBgn0265137","n:m",NA
"ENSMUSG00000038327","FBgn0033112","n:m",NA
"ENSMUSG00000038327","FBgn0033113","n:m",NA
"ENSMUSG00000038327","FBgn0028988","n:m",NA
"ENSMUSG00000038327","FBgn0024294","n:m",NA
"ENSMUSG00000038327","FBgn0028983","n:m",NA
"ENSMUSG00000071452","FBgn0051902","n:m",NA
"ENSMUSG00000071452","FBgn0265137","n:m",NA
"ENSMUSG00000071452","FBgn0033112","n:m",NA
"ENSMUSG00000071452","FBgn0033113","n:m",NA
"ENSMUSG00000071452","FBgn0028988","n:m",NA
"ENSMUSG00000071452","FBgn0024294","n:m",NA
"ENSMUSG00000071452","FBgn0028983","n:m",NA
"ENSMUSG00000057726","FBgn0051902","n:m",NA
"ENSMUSG00000057726","FBgn0265137","n:m",NA
"ENSMUSG00000057726","FBgn0033112","n:m",NA
"ENSMUSG00000057726","FBgn0033113","n:m",NA
"ENSMUSG00000057726","FBgn0028988","n:m",NA
"ENSMUSG00000057726","FBgn0024294","n:m",NA
"ENSMUSG00000057726","FBgn0028983","n:m",NA
"ENSMUSG00000069248","FBgn0051902","n:m",NA
"ENSMUSG00000069248","FBgn0265137","n:m",NA
"ENSMUSG00000069248","FBgn0033112","n:m",NA
"ENSMUSG00000069248","FBgn0033113","n:m",NA
"ENSMUSG00000069248","FBgn0028988","n:m",NA
"ENSMUSG00000069248","FBgn0024294","n:m",NA
"ENSMUSG00000069248","FBgn0028983","n:m",847712
"ENSMUSG00000052180","FBgn0051902","n:m",NA
"ENSMUSG00000052180","FBgn0265137","n:m",NA
"ENSMUSG00000052180","FBgn0033112","n:m",NA
"ENSMUSG00000052180","FBgn0033113","n:m",NA
"ENSMUSG00000052180","FBgn0028988","n:m",NA
"ENSMUSG00000052180","FBgn0024294","n:m",NA
"ENSMUSG00000052180","FBgn0028983","n:m",NA
"ENSMUSG00000060147","FBgn0051902","n:m",NA
"ENSMUSG00000060147","FBgn0265137","n:m",NA
"ENSMUSG00000060147","FBgn0033112","n:m",NA
"ENSMUSG00000060147","FBgn0033113","n:m",NA
"ENSMUSG00000060147","FBgn0028988","n:m",NA
"ENSMUSG00000060147","FBgn0024294","n:m",NA
"ENSMUSG00000060147","FBgn0028983","n:m",NA
"ENSMUSG00000038286","FBgn0038974","1:1",547507
"ENSMUSG00000058672","FBgn0003889","n:1",NA
"ENSMUSG00000045136","FBgn0003889","n:1",696185
"ENSMUSG00000038246","FBgn0039557","n:1",NA
"ENSMUSG00000021413","FBgn0037093","1:1",NA
"ENSMUSG00000021416","FBgn0035169","n:1",NA
"ENSMUSG00000021417","FBgn0035169","n:1",547066
"ENSMUSG00000046573","FBgn0013432","1:1",530802
"ENSMUSG00000021420","FBgn0020766","1:1",859625
"ENSMUSG00000039087","FBgn0003053","1:1",NA
"ENSMUSG00000021427","FBgn0028327","1:1",696493
"ENSMUSG00000021428","FBgn0036187","1:1",547152
"ENSMUSG00000039004","FBgn0024234","n:1",830951
"ENSMUSG00000038991","FBgn0030329","1:1",780368
"ENSMUSG00000001707","FBgn0050185","1:1",NA
"ENSMUSG00000021432","FBgn0036695","1:1",665212
"ENSMUSG00000038683","FBgn0030629","1:m",NA
"ENSMUSG00000038683","FBgn0030630","1:m",848224
"ENSMUSG00000021361","FBgn0034902","1:1",527774
"ENSMUSG00000021365","FBgn0035101","n:1",NA
"ENSMUSG00000087370","FBgn0033550","n:1",NA
"ENSMUSG00000021368","FBgn0039158","1:1",833504
"ENSMUSG00000051335","FBgn0027597","n:1",NA
"ENSMUSG00000038546","FBgn0262114","n:1",516374
"ENSMUSG00000038175","FBgn0260866","1:1",844619
"ENSMUSG00000021374","FBgn0061200","1:1",548574
"ENSMUSG00000021375","FBgn0019968","1:1",548406
"ENSMUSG00000037966","FBgn0038079","n:1",NA
"ENSMUSG00000037933","FBgn0000183","n:1",NA
"ENSMUSG00000113255","FBgn0036510","n:1",840561
"ENSMUSG00000037851","FBgn0027086","1:1",490198
"ENSMUSG00000021448","FBgn0015296","n:1",NA
"ENSMUSG00000062248","FBgn0010314","n:m",NA
"ENSMUSG00000062248","FBgn0037613","n:m",846366
"ENSMUSG00000047842","FBgn0037754","1:1",522182
"ENSMUSG00000021460","FBgn0033761","1:1",547175
"ENSMUSG00000021464","FBgn0010407","n:1",NA
"ENSMUSG00000021468","FBgn0086532","1:1",805414
"ENSMUSG00000021474","FBgn0037239","n:1",862627
"ENSMUSG00000025872","FBgn0037569","1:1",640875
"ENSMUSG00000025869","FBgn0039868","1:1",826015
"ENSMUSG00000047547","FBgn0024814","n:1",843275
"ENSMUSG00000025873","FBgn0025608","1:1",716164
"ENSMUSG00000074895","FBgn0035709","n:m",NA
"ENSMUSG00000074895","FBgn0035823","n:m",841557
"ENSMUSG00000074895","FBgn0265089","n:m",NA
"ENSMUSG00000074895","FBgn0015218","n:m",NA
"ENSMUSG00000025875","FBgn0031760","n:1",641209
"ENSMUSG00000025876","FBgn0034013","n:1",NA
"ENSMUSG00000005320","FBgn0010389","1:1",548907
"ENSMUSG00000021486","FBgn0033413","1:1",750622
"ENSMUSG00000021484","FBgn0039160","n:1",797357
"ENSMUSG00000021494","FBgn0015331","1:1",547295
"ENSMUSG00000058569","FBgn0069242","n:m",NA
"ENSMUSG00000058569","FBgn0053105","n:m",498657
"ENSMUSG00000021504","FBgn0039258","1:1",847305
"ENSMUSG00000021500","FBgn0030631","1:1",547363
"ENSMUSG00000035493","FBgn0260745","1:1",NA
"ENSMUSG00000021540","FBgn0011648","n:1",NA
"ENSMUSG00000014164","FBgn0001301","n:1",NA
"ENSMUSG00000005312","FBgn0031057","n:1",NA
"ENSMUSG00000060176","FBgn0000352","n:1",550026
"ENSMUSG00000021550","FBgn0034614","1:1",799839
"ENSMUSG00000021555","FBgn0034982","1:1",847215
"ENSMUSG00000044792","FBgn0026666","n:1",546820
"ENSMUSG00000042243","FBgn0013770","n:1",NA
"ENSMUSG00000114635","FBgn0034443","1:1",719448
"ENSMUSG00000021440","FBgn0032228","n:m",NA
"ENSMUSG00000021440","FBgn0033874","n:m",NA
"ENSMUSG00000021440","FBgn0037396","n:m",NA
"ENSMUSG00000074870","FBgn0032228","n:m",NA
"ENSMUSG00000074870","FBgn0033874","n:m",NA
"ENSMUSG00000074870","FBgn0037396","n:m",NA
"ENSMUSG00000074867","FBgn0037931","n:1",NA
"ENSMUSG00000094942","FBgn0038047","n:1",NA
"ENSMUSG00000113450","FBgn0264744","n:m",NA
"ENSMUSG00000113450","FBgn0031610","n:m",NA
"ENSMUSG00000021456","FBgn0032820","n:1",NA
"ENSMUSG00000069805","FBgn0032820","n:1",764975
"ENSMUSG00000021466","FBgn0003892","n:1",801874
"ENSMUSG00000033122","FBgn0032614","n:m",NA
"ENSMUSG00000033122","FBgn0051810","n:m",NA
"ENSMUSG00000033122","FBgn0051809","n:m",NA
"ENSMUSG00000033122","FBgn0032615","n:m",NA
"ENSMUSG00000021476","FBgn0024183","n:1",NA
"ENSMUSG00000021477","FBgn0013770","n:1",NA
"ENSMUSG00000021483","FBgn0038902","1:1",548697
"ENSMUSG00000033063","FBgn0013997","n:1",NA
"ENSMUSG00000038212","FBgn0035400","n:1",547458
"ENSMUSG00000021520","FBgn0039576","1:m",NA
"ENSMUSG00000021520","FBgn0030733","1:m",805536
"ENSMUSG00000021519","FBgn0037008","1:1",834798
"ENSMUSG00000021518","FBgn0037010","1:1",766715
"ENSMUSG00000021510","FBgn0039329","n:1",NA
"ENSMUSG00000071281","FBgn0036294","n:1",NA
"ENSMUSG00000021536","FBgn0004852","n:1",501069
"ENSMUSG00000021595","FBgn0026079","1:1",684103
"ENSMUSG00000021598","FBgn0036581","1:1",671305
"ENSMUSG00000021606","FBgn0031684","1:1",516259
"ENSMUSG00000021608","FBgn0052699","n:1",NA
"ENSMUSG00000021610","FBgn0030456","1:1",832833
"ENSMUSG00000017756","FBgn0261794","n:1",NA
"ENSMUSG00000021569","FBgn0051453","1:1",848769
"ENSMUSG00000021573","FBgn0266417","n:1",NA
"ENSMUSG00000034152","FBgn0266671","1:1",742359
"ENSMUSG00000021576","FBgn0086378","1:1",547854
"ENSMUSG00000021577","FBgn0261439","1:1",731943
"ENSMUSG00000033991","FBgn0033376","1:1",NA
"ENSMUSG00000021596","FBgn0034389","n:1",641963
"ENSMUSG00000064138","FBgn0038013","1:1",530435
"ENSMUSG00000069171","FBgn0003651","n:1",NA
"ENSMUSG00000035834","FBgn0053051","n:1",748385
"ENSMUSG00000005583","FBgn0011656","n:1",548760
"ENSMUSG00000035762","FBgn0036133","1:1",850897
"ENSMUSG00000021548","FBgn0022936","1:1",834350
"ENSMUSG00000021549","FBgn0003969","1:1",497664
"ENSMUSG00000017778","FBgn0040773","1:1",758901
"ENSMUSG00000012422","FBgn0040890","1:1",818180
"ENSMUSG00000049517","FBgn0033912","1:1",863352
"ENSMUSG00000003992","FBgn0011481","n:1",547865
"ENSMUSG00000021707","FBgn0004087","1:1",838476
"ENSMUSG00000034334","FBgn0031968","1:1",849740
"ENSMUSG00000021702","FBgn0031850","n:1",514310
"ENSMUSG00000021704","FBgn0037710","n:1",839879
"ENSMUSG00000042082","FBgn0036768","1:1",NA
"ENSMUSG00000045312","FBgn0035085","1:1",828570
"ENSMUSG00000021687","FBgn0040285","1:1",659091
"ENSMUSG00000021686","FBgn0003210","n:1",NA
"ENSMUSG00000042043","FBgn0039869","1:1",783411
"ENSMUSG00000021681","FBgn0034002","1:1",696821
"ENSMUSG00000021680","FBgn0039770","1:1",836684
"ENSMUSG00000114133","FBgn0000181","n:1",NA
"ENSMUSG00000021669","FBgn0027569","1:1",838754
"ENSMUSG00000021670","FBgn0263782","1:1",830292
"ENSMUSG00000060739","FBgn0025366","1:1",865387
"ENSMUSG00000021666","FBgn0051159","1:1",863718
"ENSMUSG00000069117","FBgn0010411","n:1",NA
"ENSMUSG00000041747","FBgn0023527","1:1",818543
"ENSMUSG00000092116","FBgn0010638","n:1",NA
"ENSMUSG00000041685","FBgn0037702","1:1",548322
"ENSMUSG00000009470","FBgn0024921","n:1",NA
"ENSMUSG00000021646","FBgn0042083","1:1",836761
"ENSMUSG00000021643","FBgn0038421","n:1",NA
"ENSMUSG00000021645","FBgn0036641","1:1",842889
"ENSMUSG00000021639","FBgn0037202","1:1",542327
"ENSMUSG00000078941","FBgn0033754","1:1",859644
"ENSMUSG00000069089","FBgn0263237","1:1",547099
"ENSMUSG00000041417","FBgn0020622","n:1",NA
"ENSMUSG00000032621","FBgn0024285","n:1",NA
"ENSMUSG00000042743","FBgn0032640","n:1",547335
"ENSMUSG00000021711","FBgn0032204","1:1",719115
"ENSMUSG00000021713","FBgn0035027","1:1",831232
"ENSMUSG00000021715","FBgn0036207","1:1",549264
"ENSMUSG00000021718","FBgn0033538","1:1",NA
"ENSMUSG00000042590","FBgn0053139","1:1",822967
"ENSMUSG00000021692","FBgn0039627","1:1",845377
"ENSMUSG00000021693","FBgn0034824","1:1",NA
"ENSMUSG00000021696","FBgn0051522","1:m",NA
"ENSMUSG00000021696","FBgn0051523","1:m",650980
"ENSMUSG00000021696","FBgn0037534","1:m",NA
"ENSMUSG00000021699","FBgn0000479","n:1",NA
"ENSMUSG00000021700","FBgn0005586","1:1",522117
"ENSMUSG00000021759","FBgn0041087","n:1",NA
"ENSMUSG00000016018","FBgn0001986","1:1",845982
"ENSMUSG00000021763","FBgn0032683","n:1",NA
"ENSMUSG00000042364","FBgn0040475","n:1",847104
"ENSMUSG00000021764","FBgn0031021","1:1",NA
"ENSMUSG00000042275","FBgn0011207","1:1",857533
"ENSMUSG00000074634","FBgn0035475","1:1",854817
"ENSMUSG00000093930","FBgn0010611","n:1",783620
"ENSMUSG00000025278","FBgn0014141","n:1",NA
"ENSMUSG00000033885","FBgn0033244","1:1",829351
"ENSMUSG00000021748","FBgn0039635","1:1",508337
"ENSMUSG00000021751","FBgn0034628","1:m",NA
"ENSMUSG00000021751","FBgn0029924","1:m",852229
"ENSMUSG00000097148","FBgn0001091","n:m",NA
"ENSMUSG00000097148","FBgn0001092","n:m",NA
"ENSMUSG00000054423","FBgn0053653","n:1",836917
"ENSMUSG00000053453","FBgn0035110","1:1",818923
"ENSMUSG00000021737","FBgn0028688","1:1",816738
"ENSMUSG00000021733","FBgn0259111","n:1",516616
"ENSMUSG00000021786","FBgn0037356","1:1",546807
"ENSMUSG00000021785","FBgn0033050","1:1",833311
"ENSMUSG00000017485","FBgn0003732","n:1",864067
"ENSMUSG00000021775","FBgn0004865","1:1",NA
"ENSMUSG00000012405","FBgn0028697","1:1",854026
"ENSMUSG00000021772","FBgn0040513","n:1",NA
"ENSMUSG00000058317","FBgn0015320","n:1",NA
"ENSMUSG00000021806","FBgn0026403","n:1",814003
"ENSMUSG00000021807","FBgn0051249","1:1",650524
"ENSMUSG00000043004","FBgn0004921","n:1",NA
"ENSMUSG00000021810","FBgn0000543","1:1",747527
"ENSMUSG00000021811","FBgn0037878","1:1",858183
"ENSMUSG00000049960","FBgn0033907","1:1",547666
"ENSMUSG00000021814","FBgn0030749","1:1",NA
"ENSMUSG00000021816","FBgn0011826","n:m",548657
"ENSMUSG00000021816","FBgn0030758","n:m",NA
"ENSMUSG00000039367","FBgn0262126","n:1",547081
"ENSMUSG00000021819","FBgn0085430","1:1",831421
"ENSMUSG00000039308","FBgn0020251","n:1",NA
"ENSMUSG00000021820","FBgn0264607","n:1",NA
"ENSMUSG00000021823","FBgn0004397","1:1",681411
"ENSMUSG00000021824","FBgn0000330","n:1",NA
"ENSMUSG00000039197","FBgn0036337","1:1",783684
"ENSMUSG00000063821","FBgn0030976","n:1",709077
"ENSMUSG00000021768","FBgn0030976","n:1",NA
"ENSMUSG00000021771","FBgn0004363","n:1",810730
"ENSMUSG00000039081","FBgn0004858","n:m",NA
"ENSMUSG00000039081","FBgn0005771","n:m",NA
"ENSMUSG00000063458","FBgn0051076","1:1",843995
"ENSMUSG00000063142","FBgn0003429","1:1",643286
"ENSMUSG00000021782","FBgn0032363","1:1",848213
"ENSMUSG00000025280","FBgn0030687","1:1",846708
"ENSMUSG00000025290","FBgn0261596","1:1",810310
"ENSMUSG00000021868","FBgn0036415","1:m",NA
"ENSMUSG00000021868","FBgn0004432","1:m",547931
"ENSMUSG00000021866","FBgn0000083","1:1",NA
"ENSMUSG00000040818","FBgn0029756","n:1",517762
"ENSMUSG00000021877","FBgn0013749","1:1",775043
"ENSMUSG00000043702","FBgn0051759","1:1",849465
"ENSMUSG00000021991","FBgn0261041","n:1",810119
"ENSMUSG00000015971","FBgn0030877","1:1",736652
"ENSMUSG00000015968","FBgn0001991","n:1",788273
"ENSMUSG00000021957","FBgn0036784","n:m",508339
"ENSMUSG00000021957","FBgn0037607","n:m",NA
"ENSMUSG00000052395","FBgn0027564","1:1",831750
"ENSMUSG00000021918","FBgn0000826","n:1",554087
"ENSMUSG00000021917","FBgn0040623","1:1",659196
"ENSMUSG00000042323","FBgn0039227","1:1",830249
"ENSMUSG00000058351","FBgn0052736","1:1",852121
"ENSMUSG00000071547","FBgn0033426","n:1",NA
"ENSMUSG00000042286","FBgn0034662","1:1",NA
"ENSMUSG00000021910","FBgn0033996","1:1",798774
"ENSMUSG00000021891","FBgn0085224","1:1",836847
