mouse_ID,drosophila_ID,baboon_ID,human_ID,rat_ID,zebrafish_ID,anopheles_ID,aedes_ID
ENSMUSG00000050860,FBgn0031048,ENSPANG00000000917,RPS6KB1,ENSRNOG00000010386,ENSDARG00000075379,AGAP012895,AAEL012931
ENSMUSG00000013415,FBgn0262735,ENSPANG00000006801,VMP1,ENSRNOG00000022146,ENSDARG00000090182,AGAP003911,
ENSMUSG00000006058,FBgn0260940,ENSPANG00000021033,PTRH2,ENSRNOG00000052845,ENSDARG00000074937,AGAP003913,AAEL005414
ENSMUSG00000006057,FBgn0039830,ENSPANG00000020945,CLTC,ENSRNOG00000051758,ENSDARG00000051732,AGAP012198,AAEL001123
ENSMUSG00000018666,FBgn0030082,ENSPANG00000017717,YPEL2,ENSRNOG00000060492,ENSDARG00000051736,AGAP012895,AAEL000794
ENSMUSG00000018669,FBgn0050291,ENSPANG00000004523,SMG8,ENSRNOG00000059748,ENSDARG00000051734,AGAP003911,AAEL000770
ENSMUSG00000018659,FBgn0051472,ENSPANG00000013117,MTMR4,ENSRNOG00000052594,ENSDARG00000070286,AGAP003913,AAEL000161
ENSMUSG00000020877,FBgn0037472,ENSPANG00000023697,SUPT4H1,ENSRNOG00000048317,ENSDARG00000070280,AGAP012198,AAEL000161
ENSMUSG00000001445,FBgn0031231,ENSPANG00000023698,DYNLL2,ENSRNOG00000030736,ENSDARG00000086604,AGAP012895,AAEL004493
ENSMUSG00000001440,FBgn0262743,ENSPANG00000023675,DYNLL2,ENSRNOG00000052555,ENSDARG00000029406,AGAP003911,AAEL000016
ENSMUSG00000001441,FBgn0261243,ENSPANG00000023677,SRSF1,ENSRNOG00000033045,ENSDARG00000088686,AGAP003913,AAEL011865
ENSMUSG00000018882,FBgn0263863,ENSPANG00000023677,VEZF1,ENSRNOG00000010386,ENSDARG00000105314,AGAP012198,AAEL012826
ENSMUSG00000069744,FBgn0026380,ENSPANG00000023678,MRPS23,ENSRNOG00000022725,ENSDARG00000099123,AGAP012895,AAEL001647
ENSMUSG00000018547,FBgn0039924,ENSPANG00000023680,MSI2,ENSRNOG00000002928,ENSDARG00000100906,AGAP003911,AAEL009959
ENSMUSG00000018541,FBgn0031452,ENSPANG00000023681,SCPEP1,ENSRNOG00000002943,ENSDARG00000100279,AGAP003913,AAEL004141
ENSMUSG00000071415,FBgn0010078,ENSPANG00000023683,SCPEP1,ENSRNOG00000060229,ENSDARG00000105400,AGAP012198,
ENSMUSG00000038366,FBgn0063485,ENSPANG00000023684,SCPEP1,ENSRNOG00000022438,ENSDARG00000086552,AGAP012895,AAEL011905
ENSMUSG00000020882,FBgn0259822,ENSPANG00000023671,SCPEP1,ENSRNOG00000003302,ENSDARG00000100024,AGAP003911,AAEL011116
ENSMUSG00000017404,FBgn0002607,ENSPANG00000023548,,ENSRNOG00000053943,ENSDARG00000105478,AGAP003913,
ENSMUSG00000020883,FBgn0033639,ENSPANG00000023549,DGKE,ENSRNOG00000003463,ENSDARG00000105366,AGAP012198,AAEL013470
ENSMUSG00000018160,FBgn0037109,ENSPANG00000023551,MMD,ENSRNOG00000021303,ENSDARG00000098595,AGAP012895,AAEL014095
ENSMUSG00000018167,FBgn0035028,ENSPANG00000011127,HLF,ENSRNOG00000021303,ENSDARG00000103015,AGAP003911,AAEL000219
ENSMUSG00000038208,FBgn0033088,ENSPANG00000011127,COX11,ENSRNOG00000003719,ENSDARG00000105444,AGAP003913,AAEL009023
ENSMUSG00000062312,FBgn0003731,ENSPANG00000023615,KIF2B,ENSRNOG00000055309,ENSDARG00000075220,AGAP012198,AAEL000163
ENSMUSG00000002580,FBgn0040650,ENSPANG00000023617,CA10,ENSRNOG00000059219,ENSDARG00000074260,AGAP012895,AAEL006945
ENSMUSG00000038150,FBgn0037110,ENSPANG00000023658,CA10,ENSRNOG00000003948,ENSDARG00000091205,AGAP003911,AAEL008041
ENSMUSG00000078134,FBgn0260944,ENSPANG00000023653,UTP18,ENSRNOG00000004159,ENSDARG00000068995,AGAP003913,AAEL001360
ENSMUSG00000017221,FBgn0261396,ENSPANG00000023620,NME2,ENSRNOG00000005275,ENSDARG00000051770,AGAP012198,AAEL010441
ENSMUSG00000017210,FBgn0035851,ENSPANG00000023621,NME1,ENSRNOG00000005360,ENSDARG00000051775,AGAP012895,AAEL010460
ENSMUSG00000078676,FBgn0045862,ENSPANG00000023712,SPAG9,ENSRNOG00000005377,ENSDARG00000068928,,
ENSMUSG00000020914,FBgn0003732,,LUC7L3,ENSRNOG00000006612,ENSDARG00000086304,AGAP011105,AAEL004041
ENSMUSG00000019761,FBgn0004227,,ABCC3,ENSRNOG00000002303,ENSDARG00000070265,AGAP004113,AAEL006649
ENSMUSG00000078131,FBgn0046873,,SPATA20,ENSRNOG00000002303,ENSDARG00000075379,AGAP012014,AAEL006540
ENSMUSG00000063251,FBgn0046873,ENSPANG00000023723,ACSF2,ENSRNOG00000032492,ENSDARG00000090182,AGAP008415,AAEL006956
ENSMUSG00000044649,FBgn0046873,ENSPANG00000023723,MRPL27,ENSRNOG00000002342,ENSDARG00000074937,AGAP007579,AAEL002701
ENSMUSG00000045109,FBgn0046873,ENSPANG00000023723,XYLT2,ENSRNOG00000002462,ENSDARG00000051732,AGAP006445,AAEL013561
ENSMUSG00000078130,FBgn0046873,ENSPANG00000023747,COL1A1,ENSRNOG00000002724,ENSDARG00000051736,AGAP000076,AAEL005766
ENSMUSG00000069718,FBgn0046873,ENSPANG00000023721,SGCA,ENSRNOG00000002763,ENSDARG00000051734,AGAP010129,AAEL007498
ENSMUSG00000078276,FBgn0004175,ENSPANG00000023746,PDK2,ENSRNOG00000002899,ENSDARG00000070286,AGAP010129,AAEL014305
ENSMUSG00000078276,FBgn0004174,ENSPANG00000023747,ITGA3,ENSRNOG00000002977,ENSDARG00000070280,AGAP008876,AAEL000174
ENSMUSG00000078260,FBgn0046873,ENSPANG00000023721,SLC35B1,,ENSDARG00000086604,AGAP002185,AAEL009863
ENSMUSG00000078259,FBgn0046873,ENSPANG00000023751,SPOP,,ENSDARG00000029406,AGAP005213,AAEL009856
ENSMUSG00000048294,FBgn0046873,ENSPANG00000023748,PHB,ENSRNOG00000050649,ENSDARG00000088686,AGAP004483,AAEL009855
ENSMUSG00000078254,FBgn0031089,ENSPANG00000023767,PHOSPHO1,ENSRNOG00000027212,ENSDARG00000105314,AGAP011292,
ENSMUSG00000078253,FBgn0028939,ENSPANG00000023767,IGF2BP1,ENSRNOG00000027212,ENSDARG00000099123,AGAP001065,
ENSMUSG00000078252,FBgn0004173,ENSPANG00000023763,SNF8,ENSRNOG00000027212,ENSDARG00000100906,AGAP005532,AAEL011113
ENSMUSG00000035530,FBgn0035423,ENSPANG00000023762,,ENSRNOG00000003384,ENSDARG00000100279,AGAP005550,
ENSMUSG00000017176,FBgn0034988,,CBX1,ENSRNOG00000024591,ENSDARG00000105400,AGAP000310,AAEL001463
ENSMUSG00000001558,FBgn0040038,ENSPANG00000023760,CDK5RAP3,ENSRNOG00000024972,ENSDARG00000086552,AGAP001280,AAEL012269
ENSMUSG00000014195,FBgn0032586,ENSPANG00000023759,PNPO,ENSRNOG00000003384,ENSDARG00000100024,AGAP001283,AAEL004797
ENSMUSG00000017837,FBgn0040513,ENSPANG00000023757,SCRN2,ENSRNOG00000024591,ENSDARG00000105478,AGAP012119,AAEL001751
ENSMUSG00000020918,FBgn0020388,ENSPANG00000023756,MRPL10,ENSRNOG00000003424,ENSDARG00000105366,AGAP005124,AAEL003541
ENSMUSG00000019173,FBgn0014010,ENSPANG00000023778,KPNB1,ENSRNOG00000003834,ENSDARG00000098595,AGAP006071,
ENSMUSG00000019302,FBgn0028671,ENSPANG00000023776,NPEPPS,ENSRNOG00000004171,ENSDARG00000103015,AGAP000954,AAEL008371
ENSMUSG00000001751,FBgn0014417,ENSPANG00000023775,MRPL45,ENSRNOG00000004171,ENSDARG00000105444,AGAP011295,AAEL006972
ENSMUSG00000001755,FBgn0035632,ENSPANG00000023772,PSMB3,ENSRNOG00000028699,ENSDARG00000075220,AGAP007895,AAEL008578
ENSMUSG00000017801,FBgn0039509,ENSPANG00000023772,PIP4K2B,ENSRNOG00000046276,ENSDARG00000074260,AGAP008033,AAEL008584
ENSMUSG00000035198,FBgn0260639,ENSPANG00000023796,CWC25,,ENSDARG00000091205,AAA29362.1,AAEL001853
ENSMUSG00000045007,FBgn0260639,ENSPANG00000023797,RPL23,,ENSDARG00000068995,AGAP002599,AAEL001749
ENSMUSG00000017167,FBgn0013997,ENSPANG00000014312,LASP1,ENSRNOG00000049695,ENSDARG00000051770,AGAP009134,AAEL012419
ENSMUSG00000006920,FBgn0000629,ENSPANG00000023798,CACNB1,ENSRNOG00000050042,ENSDARG00000051775,,AAEL012631
ENSMUSG00000078656,FBgn0022027,ENSPANG00000023798,RPL19,,ENSDARG00000068928,AGAP000219,AAEL000582
ENSMUSG00000017188,FBgn0261353,ENSPANG00000023798,FBXL20,ENSRNOG00000037718,ENSDARG00000086304,AGAP000219,AAEL004880
ENSMUSG00000035086,FBgn0264325,ENSPANG00000023833,MED1,ENSRNOG00000003849,ENSDARG00000070265,AGAP000219,AAEL006946
ENSMUSG00000078652,FBgn0029133,ENSPANG00000024317,STARD3,ENSRNOG00000003947,ENSDARG00000075379,AGAP000422,AAEL012389
ENSMUSG00000078650,FBgn0031463,ENSPANG00000023841,PGAP3,ENSRNOG00000004075,ENSDARG00000090182,,AAEL015060
ENSMUSG00000097239,FBgn0029664,ENSPANG00000023841,ERBB2,ENSRNOG00000004075,ENSDARG00000074937,AGAP000422,AAEL004063
ENSMUSG00000075528,FBgn0029664,ENSPANG00000023940,MIEN1,ENSRNOG00000002886,ENSDARG00000051732,AGAP009743,
ENSMUSG00000035007,FBgn0040348,ENSPANG00000023939,ORMDL3,ENSRNOG00000004139,ENSDARG00000051736,AGAP003365,AAEL006463
ENSMUSG00000063316,FBgn0039359,ENSPANG00000023938,SRSF3,ENSRNOG00000039783,ENSDARG00000051734,AGAP010435,AAEL011650
ENSMUSG00000034931,FBgn0086895,ENSPANG00000023937,PSMD3,ENSRNOG00000004214,ENSDARG00000070286,AGAP001672,AAEL007699
ENSMUSG00000017314,FBgn0250785,,MED24,ENSRNOG00000004668,ENSDARG00000070280,AGAP008774,AAEL012962
ENSMUSG00000020922,FBgn0036057,ENSPANG00000024062,CASC3,ENSRNOG00000004668,ENSDARG00000086604,AGAP010147,AAEL014391
ENSMUSG00000020922,FBgn0030364,ENSPANG00000024060,TOP2A,ENSRNOG00000004668,ENSDARG00000029406,AGAP010147,AAEL004251
ENSMUSG00000034793,FBgn0031463,ENSPANG00000024060,KRT10,ENSRNOG00000005193,ENSDARG00000088686,AGAP010147,
ENSMUSG00000008855,FBgn0041210,ENSPANG00000024060,,ENSRNOG00000005659,ENSDARG00000105314,AGAP010147,AAEL006307
ENSMUSG00000006574,FBgn0036043,ENSPANG00000024058,,ENSRNOG00000006989,ENSDARG00000099123,AGAP010147,AAEL010885
ENSMUSG00000018677,FBgn0037512,ENSPANG00000024057,,ENSRNOG00000006989,ENSDARG00000100906,AGAP010147,AAEL007669
ENSMUSG00000018677,FBgn0031039,ENSPANG00000024055,KRTAP4-12,ENSRNOG00000037627,ENSDARG00000100279,AGAP005915,AAEL010677
ENSMUSG00000020925,FBgn0032101,ENSPANG00000024093,KRTAP4-7,ENSRNOG00000008480,ENSDARG00000105400,AGAP006100,AAEL010671
ENSMUSG00000020929,FBgn0039566,ENSPANG00000024099,KRTAP4-6,ENSRNOG00000009722,ENSDARG00000086552,,AAEL001461
ENSMUSG00000020935,FBgn0037469,ENSPANG00000024185,KRTAP4-12,ENSRNOG00000045742,ENSDARG00000100024,AGAP003022,AAEL007669
ENSMUSG00000020936,FBgn0020392,ENSPANG00000024193,KRTAP4-7,ENSRNOG00000052688,ENSDARG00000105478,AGAP003022,AAEL010677
ENSMUSG00000055805,FBgn0267795,ENSPANG00000024193,KRTAP4-6,ENSRNOG00000010520,ENSDARG00000105366,AGAP007523,AAEL010671
ENSMUSG00000078632,FBgn0039633,ENSPANG00000024189,,ENSRNOG00000011227,ENSDARG00000098595,AGAP009914,AAEL001461
ENSMUSG00000020945,FBgn0034092,ENSPANG00000024188,,ENSRNOG00000011227,ENSDARG00000103015,AGAP002468,AAEL006445
ENSMUSG00000020945,FBgn0004431,ENSPANG00000024186,,ENSRNOG00000011227,ENSDARG00000105444,AGAP005239,AAEL006445
ENSMUSG00000020945,FBgn0004425,ENSPANG00000024215,KRTAP4-3,ENSRNOG00000011714,ENSDARG00000075220,AGAP005239,AAEL000755
ENSMUSG00000020945,FBgn0004426,ENSPANG00000024212,KRTAP4-3,ENSRNOG00000011876,ENSDARG00000074260,,AAEL010184
ENSMUSG00000020945,FBgn0004427,,KRTAP4-3,ENSRNOG00000012162,ENSDARG00000091205,AGAP002091,AAEL009877
ENSMUSG00000020945,FBgn0004428,ENSPANG00000024210,KRTAP29-1,ENSRNOG00000030628,ENSDARG00000068995,,AAEL011147
ENSMUSG00000020945,FBgn0004429,ENSPANG00000024209,KRTAP16-1,ENSRNOG00000028834,ENSDARG00000051770,AGAP007721,
ENSMUSG00000020945,FBgn0004430,ENSPANG00000024208,,ENSRNOG00000015430,ENSDARG00000051775,,AAEL000728
ENSMUSG00000020945,FBgn0029765,ENSPANG00000024199,EIF1,ENSRNOG00000037540,ENSDARG00000068928,AGAP000995,AAEL007763
ENSMUSG00000020946,FBgn0260856,ENSPANG00000024199,NT5C3B,ENSRNOG00000037540,ENSDARG00000086304,AGAP010067,AAEL006066
ENSMUSG00000034187,FBgn0266464,ENSPANG00000024345,KLHL10,ENSRNOG00000015674,ENSDARG00000070265,AGAP012009,AAEL013614
ENSMUSG00000034187,FBgn0000346,ENSPANG00000024328,DNAJC7,ENSRNOG00000016109,ENSDARG00000075379,AGAP010016,AAEL001532
ENSMUSG00000062421,FBgn0010348,ENSPANG00000024329,NKIRAS2,ENSRNOG00000016478,ENSDARG00000090182,,AAEL003157
ENSMUSG00000018634,FBgn0033744,ENSPANG00000024330,KAT2A,ENSRNOG00000017226,ENSDARG00000074937,AGAP001885,AAEL000564
ENSMUSG00000018634,FBgn0033932,ENSPANG00000024332,RAB5C,ENSRNOG00000017352,ENSDARG00000051732,AGAP007790,AAEL006566
ENSMUSG00000020687,FBgn0012058,ENSPANG00000024311,ATP6V0A1,ENSRNOG00000017417,ENSDARG00000051736,AGAP007791,AAEL011478
ENSMUSG00000061086,FBgn0004687,ENSPANG00000024314,NAGLU,ENSRNOG00000017915,ENSDARG00000051734,AGAP009595,AAEL011478
ENSMUSG00000020691,FBgn0035247,ENSPANG00000024315,COASY,ENSRNOG00000018114,ENSDARG00000070286,AGAP002239,AAEL006473
ENSMUSG00000020681,FBgn0016122,ENSPANG00000024295,MLX,ENSRNOG00000018526,ENSDARG00000070280,,
ENSMUSG00000020681,FBgn0012037,,TUBG1,ENSRNOG00000018881,ENSDARG00000086604,AGAP008375,AAEL005944
ENSMUSG00000101605,FBgn0016122,ENSPANG00000024297,TUBG2,ENSRNOG00000018881,ENSDARG00000029406,AGAP009863,
ENSMUSG00000101605,FBgn0012037,ENSPANG00000024298,CNTNAP1,ENSRNOG00000019308,ENSDARG00000088686,AGAP007810,
ENSMUSG00000049354,FBgn0266848,ENSPANG00000024292,EZH1,ENSRNOG00000026488,ENSDARG00000105314,AGAP008190,
ENSMUSG00000001983,FBgn0032205,ENSPANG00000024256,VPS25,ENSRNOG00000019551,ENSDARG00000099123,AGAP001300,AAEL007926
ENSMUSG00000069631,FBgn0046692,ENSPANG00000024258,COA3,ENSRNOG00000011827,ENSDARG00000100906,AGAP001300,AAEL007926
ENSMUSG00000078622,FBgn0031544,ENSPANG00000024258,BECN1,ENSRNOG00000019604,ENSDARG00000100279,AGAP000563,AAEL000084
ENSMUSG00000020705,FBgn0036104,ENSPANG00000024258,PSME3,ENSRNOG00000033508,ENSDARG00000105400,AGAP011965,AAEL011709
ENSMUSG00000020706,FBgn0030720,ENSPANG00000024261,G6PC,ENSRNOG00000003815,ENSDARG00000086552,AGAP011284,AAEL010679
ENSMUSG00000020708,FBgn0020369,ENSPANG00000024352,PTGES3L-AARSD1,ENSRNOG00000004078,ENSDARG00000100024,AGAP007340,AAEL005255
ENSMUSG00000001027,FBgn0264255,ENSPANG00000024354,AARSD1,ENSRNOG00000004246,ENSDARG00000105478,AGAP006231,AAEL006779
ENSMUSG00000020715,FBgn0261984,ENSPANG00000024369,PTGES3L-AARSD1,ENSRNOG00000006126,ENSDARG00000105366,AGAP002685,AAEL004235
ENSMUSG00000020719,FBgn0035720,ENSPANG00000024365,AARSD1,ENSRNOG00000006949,ENSDARG00000098595,AGAP004448,AAEL008031
ENSMUSG00000018363,FBgn0029006,ENSPANG00000013055,RUNDC1,ENSRNOG00000007054,ENSDARG00000103015,AGAP008769,
ENSMUSG00000018362,FBgn0267727,ENSPANG00000024357,RPL27,ENSRNOG00000055466,ENSDARG00000105444,AGAP000255,AAEL007573
ENSMUSG00000040481,FBgn0000541,ENSPANG00000024457,DHX8,ENSRNOG00000007889,ENSDARG00000075220,AGAP006389,AAEL012359
ENSMUSG00000018433,FBgn0036886,ENSPANG00000024454,MPP2,ENSRNOG00000014072,ENSDARG00000074260,,AAEL012359
ENSMUSG00000040430,FBgn0027872,ENSPANG00000024465,LSM12,ENSRNOG00000014870,ENSDARG00000091205,AGAP011360,AAEL012475
ENSMUSG00000020720,FBgn0028690,ENSPANG00000024465,LSM12,ENSRNOG00000014870,ENSDARG00000068995,AGAP005990,AAEL010612
ENSMUSG00000050965,FBgn0003091,ENSPANG00000024463,G6PC3,ENSRNOG00000014870,ENSDARG00000051770,AGAP009271,AAEL011687
ENSMUSG00000000142,FBgn0026597,ENSPANG00000024597,HDAC5,ENSRNOG00000014973,ENSDARG00000051775,AGAP010687,AAEL004743
ENSMUSG00000020611,FBgn0000384,ENSPANG00000024596,SLC4A1,ENSRNOG00000010041,ENSDARG00000068928,AGAP006340,AAEL001725
ENSMUSG00000041895,FBgn0032935,ENSPANG00000024592,SLC25A39,ENSRNOG00000016212,ENSDARG00000086304,AGAP012097,AAEL011677
ENSMUSG00000020612,FBgn0259243,ENSPANG00000024598,SLC25A39,ENSRNOG00000024553,ENSDARG00000070265,AGAP007827,AAEL014664
ENSMUSG00000020623,FBgn0261524,ENSPANG00000024607,CCDC43,ENSRNOG00000018242,ENSDARG00000075379,AGAP012500,AAEL014665
ENSMUSG00000041695,FBgn0265042,ENSPANG00000024603,EFTUD2,ENSRNOG00000019352,ENSDARG00000090182,AGAP001179,AAEL002418
ENSMUSG00000041695,FBgn0039081,ENSPANG00000024602,DCAKD,ENSRNOG00000019606,ENSDARG00000074937,AGAP003987,AAEL007409
ENSMUSG00000041654,FBgn0033665,ENSPANG00000024601,NMT1,ENSRNOG00000002669,ENSDARG00000051732,AGAP006138,
ENSMUSG00000018661,FBgn0037998,ENSPANG00000024608,FMNL1,ENSRNOG00000002755,ENSDARG00000051736,AGAP000832,AAEL006601
ENSMUSG00000057322,FBgn0040007,ENSPANG00000024627,LRRC37A,ENSRNOG00000027194,ENSDARG00000051734,AGAP011684,AAEL007375
ENSMUSG00000034714,FBgn0261444,ENSPANG00000024631,LRRC37A3,ENSRNOG00000027194,ENSDARG00000070286,AGAP000725,AAEL001603
ENSMUSG00000034714,FBgn0015558,ENSPANG00000024612,LRRC37B,ENSRNOG00000002980,ENSDARG00000070280,AGAP009738,AAEL015560
ENSMUSG00000034706,FBgn0036195,ENSPANG00000024613,LRRC37A2,,ENSDARG00000086604,AGAP007054,AAEL008656
ENSMUSG00000010021,FBgn0038205,ENSPANG00000024615,LYZL6,ENSRNOG00000003116,ENSDARG00000029406,AGAP007055,
ENSMUSG00000015542,FBgn0039859,ENSPANG00000023158,LYZL6,ENSRNOG00000003123,ENSDARG00000088686,,AAEL009345
ENSMUSG00000045980,FBgn0036988,ENSPANG00000023153,LYZL6,ENSRNOG00000003243,ENSDARG00000105314,,AAEL011597
ENSMUSG00000018861,FBgn0015582,ENSPANG00000023188,LYZL6,ENSRNOG00000003495,ENSDARG00000099123,AGAP007334,AAEL006876
ENSMUSG00000045288,FBgn0033785,ENSPANG00000023185,LYZL6,ENSRNOG00000003846,ENSDARG00000100906,AGAP002251,AAEL011388
ENSMUSG00000034586,FBgn0033713,ENSPANG00000023370,LYZL6,ENSRNOG00000056954,ENSDARG00000100279,AGAP002243,AAEL006256
ENSMUSG00000018858,FBgn0032261,ENSPANG00000023367,LYZL6,ENSRNOG00000004072,ENSDARG00000105400,AGAP001042,AAEL012740
ENSMUSG00000034566,FBgn0016120,ENSPANG00000023415,LYZL6,ENSRNOG00000005290,ENSDARG00000086552,AGAP002250,AAEL004467
ENSMUSG00000016940,FBgn0025394,ENSPANG00000023435,LYZL6,ENSRNOG00000060054,ENSDARG00000100024,AGAP004330,AAEL002387
ENSMUSG00000057219,FBgn0038425,ENSPANG00000023444,AC005670.2,ENSRNOG00000006895,ENSDARG00000105478,AGAP012241,AAEL002703
ENSMUSG00000020738,FBgn0264922,ENSPANG00000023445,GOSR2,ENSRNOG00000007788,ENSDARG00000105366,AGAP011851,AAEL008650
ENSMUSG00000020739,FBgn0034310,ENSPANG00000023450,NSF,ENSRNOG00000037238,ENSDARG00000098595,AGAP011849,AAEL009431
ENSMUSG00000020740,FBgn0030141,ENSPANG00000023455,NSF,ENSRNOG00000007988,ENSDARG00000103015,AGAP003198,AAEL013275
ENSMUSG00000046756,FBgn0032236,ENSPANG00000023454,ARL17A,ENSRNOG00000003971,ENSDARG00000105444,AGAP003198,AAEL012918
ENSMUSG00000020744,FBgn0037852,ENSPANG00000023452,ARL17B,ENSRNOG00000003563,ENSDARG00000075220,AGAP009438,AAEL012025
ENSMUSG00000059923,FBgn0004638,ENSPANG00000023508,LINC02210-CRHR1,ENSRNOG00000014496,ENSDARG00000074260,AGAP003155,AAEL006174
ENSMUSG00000020747,FBgn0022153,ENSPANG00000023508,CRHR1,ENSRNOG00000014742,ENSDARG00000091205,,
ENSMUSG00000034471,FBgn0039249,ENSPANG00000023508,LINC02210-CRHR1,ENSRNOG00000009566,ENSDARG00000068995,AGAP001421,AAEL002384
ENSMUSG00000020782,FBgn0002121,ENSPANG00000023511,CRHR1,ENSRNOG00000009681,ENSDARG00000051770,AGAP007731,AAEL015006
ENSMUSG00000016559,FBgn0014857,ENSPANG00000023530,CDC27,ENSRNOG00000013169,ENSDARG00000051775,AGAP006885,
ENSMUSG00000016559,FBgn0004828,ENSPANG00000023531,MYL4,ENSRNOG00000023375,ENSDARG00000068928,AGAP001957,
ENSMUSG00000034341,FBgn0036318,ENSPANG00000023539,METTL2B,ENSRNOG00000012240,ENSDARG00000086304,,AAEL012733
ENSMUSG00000020775,FBgn0030552,ENSPANG00000026424,METTL2A,ENSRNOG00000012121,ENSDARG00000070265,,AAEL007442
ENSMUSG00000020777,FBgn0027572,ENSPANG00000023533,ACE,ENSRNOG00000011887,ENSDARG00000075379,AGAP001151,AAEL007402
ENSMUSG00000092300,FBgn0004107,ENSPANG00000023533,ACE,ENSRNOG00000011452,ENSDARG00000090182,,AAEL009857
ENSMUSG00000020780,FBgn0035947,ENSPANG00000023142,,ENSRNOG00000011366,ENSDARG00000074937,AGAP006623,AAEL004910
ENSMUSG00000020792,FBgn0266667,ENSPANG00000023113,,ENSRNOG00000011060,ENSDARG00000051732,AGAP000367,AAEL004319
ENSMUSG00000020802,FBgn0027512,ENSPANG00000023097,DCAF7,ENSRNOG00000010337,ENSDARG00000051736,AGAP003655,AAEL011718
ENSMUSG00000056962,FBgn0038948,,TACO1,ENSRNOG00000010337,ENSDARG00000051734,AGAP003199,AAEL014383
ENSMUSG00000090266,FBgn0038396,ENSPANG00000023084,STRADA,ENSRNOG00000010337,ENSDARG00000070286,AGAP002454,AAEL012130
ENSMUSG00000034120,FBgn0265298,ENSPANG00000023087,CCDC47,ENSRNOG00000009252,ENSDARG00000070280,AGAP001341,AAEL001356
ENSMUSG00000020818,FBgn0038053,ENSPANG00000023029,DDX42,ENSRNOG00000009069,ENSDARG00000086604,AGAP005891,AAEL012122
ENSMUSG00000020823,FBgn0031814,ENSPANG00000023030,FTSJ3,ENSRNOG00000008891,ENSDARG00000029406,AGAP010677,AAEL009027
ENSMUSG00000025571,FBgn0051992,ENSPANG00000023034,PSMC5,ENSRNOG00000008704,ENSDARG00000088686,AGAP003029,AAEL013943
ENSMUSG00000048277,FBgn0033876,ENSPANG00000023021,SCN4A,ENSRNOG00000022582,ENSDARG00000105314,AGAP003789,AAEL002823
ENSMUSG00000017718,FBgn0031821,ENSPANG00000023018,ERN1,ENSRNOG00000012681,ENSDARG00000099123,AGAP010017,AAEL012584
ENSMUSG00000017713,FBgn0039094,ENSPANG00000023017,DDX5,ENSRNOG00000012681,ENSDARG00000100906,,
ENSMUSG00000017715,FBgn0038649,ENSPANG00000022997,SMURF2,ENSRNOG00000013780,ENSDARG00000100279,AGAP003619,AAEL010746
ENSMUSG00000033987,FBgn0013812,ENSPANG00000022991,KPNA2,ENSRNOG00000014209,ENSDARG00000105400,AGAP001749,AAEL010746
ENSMUSG00000033987,FBgn0267433,ENSPANG00000022993,BPTF,ENSRNOG00000058663,ENSDARG00000086552,AGAP005472,AAEL010746
ENSMUSG00000017132,FBgn0086779,ENSPANG00000022980,NOL11,ENSRNOG00000004000,ENSDARG00000100024,AGAP002564,AAEL010746
ENSMUSG00000017466,FBgn0025879,ENSPANG00000022982,,,ENSDARG00000105478,AGAP002933,AAEL010746
ENSMUSG00000025575,FBgn0037900,,PSMD12,ENSRNOG00000005515,ENSDARG00000105366,AGAP011708,AAEL010746
ENSMUSG00000039963,FBgn0262123,ENSPANG00000022101,PRKCA,ENSRNOG00000005538,ENSDARG00000098595,AGAP007054,
ENSMUSG00000025580,FBgn0037573,ENSPANG00000003448,AXIN2,ENSRNOG00000003276,ENSDARG00000103015,AGAP007055,
ENSMUSG00000005043,FBgn0038660,ENSPANG00000022118,GNA13,ENSRNOG00000058308,ENSDARG00000105444,,AAEL010746
ENSMUSG00000039908,FBgn0039736,ENSPANG00000022130,WIPI1,ENSRNOG00000007455,ENSDARG00000075220,,AAEL010746
ENSMUSG00000025371,FBgn0034744,ENSPANG00000022128,PRKAR1A,ENSRNOG00000007523,ENSDARG00000074260,AGAP001153,AAEL010746
ENSMUSG00000025372,FBgn0052082,ENSPANG00000022125,MAP2K6,ENSRNOG00000007578,ENSDARG00000091205,AGAP006173,AAEL013612
ENSMUSG00000062825,FBgn0000043,ENSPANG00000022125,KCNJ2,ENSRNOG00000021780,ENSDARG00000068995,AGAP006172,
ENSMUSG00000062825,FBgn0000042,ENSPANG00000008702,KCNJ2,ENSRNOG00000008287,ENSDARG00000051770,AGAP005898,
ENSMUSG00000025380,FBgn0003447,ENSPANG00000008702,SLC39A11,ENSRNOG00000009466,ENSDARG00000051775,AGAP005056,AAEL010843
ENSMUSG00000039703,FBgn0039348,ENSPANG00000022144,COG1,ENSRNOG00000052864,ENSDARG00000068928,AGAP012763,AAEL000258
ENSMUSG00000025793,FBgn0031450,ENSPANG00000022153,RPL38,ENSRNOG00000061543,ENSDARG00000086304,AGAP008844,AAEL007144
ENSMUSG00000039640,FBgn0011787,ENSPANG00000022164,TTYH2,,ENSDARG00000070265,,AAEL001896
ENSMUSG00000025792,FBgn0027610,ENSPANG00000022170,TTYH2,ENSRNOG00000002612,ENSDARG00000075379,AGAP003140,AAEL003817
ENSMUSG00000025130,FBgn0014002,ENSPANG00000022177,DNAI2,ENSRNOG00000030091,ENSDARG00000090182,AGAP008427,AAEL000452
ENSMUSG00000025132,FBgn0036921,ENSPANG00000022171,KIF19,ENSRNOG00000046368,ENSDARG00000074937,,AAEL007845
